Rank;TZ;DAIO;Yr;mvts;;;
Base;Denmark;AD;2014;276,435;;;
Base;Denmark;AD;2015;281,759;;;
Base;Denmark;AD;2016;293,414;;;
Base;Denmark;AD;2017;286,381;;;
Base;Denmark;AD;2018;298,310;;;
Base;Denmark;AD;2019;296,446;;;
Base;Denmark;AD;2020;109,300;;;
Base;Denmark;AD;2021;121,958;;;
Base;Denmark;AD;2022;235,627;;;
High;Denmark;AD;2022;235,627;;;
Low;Denmark;AD;2022;235,627;;;
Base;Denmark;AD;2023;264,569;;;
High;Denmark;AD;2023;266,102;;;
Low;Denmark;AD;2023;262,926;;;
Base;Denmark;AD;2024;291,944;;;
High;Denmark;AD;2024;297,694;;;
Low;Denmark;AD;2024;285,716;;;
Base;Denmark;AD;2025;296,538;;;
High;Denmark;AD;2025;307,513;;;
Low;Denmark;AD;2025;285,580;;;
Base;Denmark;AD;2026;301,789;;;
High;Denmark;AD;2026;316,843;;;
Low;Denmark;AD;2026;286,887;;;
Base;Denmark;AD;2027;305,639;;;
High;Denmark;AD;2027;324,587;;;
Low;Denmark;AD;2027;286,780;;;
Base;Denmark;AD;2028;309,313;;;
High;Denmark;AD;2028;331,822;;;
Low;Denmark;AD;2028;286,648;;;
Base;Denmark;AD;2029;311,244;;;
High;Denmark;AD;2029;337,272;;;
Low;Denmark;AD;2029;284,880;;;
Base;DK-SE FAB;AD;2010;444,657;;;
Base;DK-SE FAB;AD;2011;476,123;;;
Base;DK-SE FAB;AD;2012;470,394;;;
Base;DK-SE FAB;AD;2013;481,083;;;
Base;DK-SE FAB;AD;2014;484,630;;;
Base;DK-SE FAB;AD;2015;493,116;;;
Base;DK-SE FAB;AD;2016;510,139;;;
Base;DK-SE FAB;AD;2017;521,618;;;
Base;DK-SE FAB;AD;2018;537,219;;;
Base;DK-SE FAB;AD;2019;527,423;;;
Base;DK-SE FAB;AD;2020;189,555;;;
Base;DK-SE FAB;AD;2021;214,815;;;
Base;DK-SE FAB;AD;2022;402,749;;;
High;DK-SE FAB;AD;2022;402,749;;;
Low;DK-SE FAB;AD;2022;402,749;;;
Base;DK-SE FAB;AD;2023;448,577;;;
High;DK-SE FAB;AD;2023;451,516;;;
Low;DK-SE FAB;AD;2023;445,453;;;
Base;DK-SE FAB;AD;2024;493,280;;;
High;DK-SE FAB;AD;2024;504,009;;;
Low;DK-SE FAB;AD;2024;481,871;;;
Base;DK-SE FAB;AD;2025;501,168;;;
High;DK-SE FAB;AD;2025;521,420;;;
Low;DK-SE FAB;AD;2025;481,236;;;
Base;DK-SE FAB;AD;2026;510,605;;;
High;DK-SE FAB;AD;2026;538,166;;;
Low;DK-SE FAB;AD;2026;483,713;;;
Base;DK-SE FAB;AD;2027;518,230;;;
High;DK-SE FAB;AD;2027;552,872;;;
Low;DK-SE FAB;AD;2027;484,291;;;
Base;DK-SE FAB;AD;2028;525,636;;;
High;DK-SE FAB;AD;2028;566,837;;;
Low;DK-SE FAB;AD;2028;484,886;;;
Base;DK-SE FAB;AD;2029;529,947;;;
High;DK-SE FAB;AD;2029;577,614;;;
Low;DK-SE FAB;AD;2029;482,570;;;
Base;ECAC;AD;2010;1,724,334;;;
Base;ECAC;AD;2011;1,779,394;;;
Base;ECAC;AD;2012;1,813,318;;;
Base;ECAC;AD;2013;1,862,733;;;
Base;ECAC;AD;2014;1,907,770;;;
Base;ECAC;AD;2015;1,889,869;;;
Base;ECAC;AD;2016;1,884,121;;;
Base;ECAC;AD;2017;2,057,664;;;
Base;ECAC;AD;2018;2,220,616;;;
Base;ECAC;AD;2019;2,292,660;;;
Base;ECAC;AD;2020;947,400;;;
Base;ECAC;AD;2021;1,193,474;;;
Base;ECAC;AD;2022;1,716,284;;;
High;ECAC;AD;2022;1,716,284;;;
Low;ECAC;AD;2022;1,716,284;;;
Base;ECAC;AD;2023;2,012,327;;;
High;ECAC;AD;2023;2,026,102;;;
Low;ECAC;AD;2023;1,998,139;;;
Base;ECAC;AD;2024;2,251,235;;;
High;ECAC;AD;2024;2,302,297;;;
Low;ECAC;AD;2024;2,200,114;;;
Base;ECAC;AD;2025;2,300,980;;;
High;ECAC;AD;2025;2,393,312;;;
Low;ECAC;AD;2025;2,212,736;;;
Base;ECAC;AD;2026;2,358,230;;;
High;ECAC;AD;2026;2,491,444;;;
Low;ECAC;AD;2026;2,232,238;;;
Base;ECAC;AD;2027;2,412,992;;;
High;ECAC;AD;2027;2,588,067;;;
Low;ECAC;AD;2027;2,247,943;;;
Base;ECAC;AD;2028;2,469,854;;;
High;ECAC;AD;2028;2,685,414;;;
Low;ECAC;AD;2028;2,266,181;;;
Base;ECAC;AD;2029;2,515,115;;;
High;ECAC;AD;2029;2,773,120;;;
Low;ECAC;AD;2029;2,273,456;;;
Base;Egypt;AD;2023;146,819;;;
